"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","response"
"1",56,"employed","married","basic","no","no","no","telephone","may","mon",261,1,"no"
"3",37,"employed","married","high.school","no","yes","no","telephone","may","mon",226,1,"no"
"4",40,"employed","married","basic","no","no","no","telephone","may","mon",151,1,"no"
"5",56,"employed","married","high.school","no","no","yes","telephone","may","mon",307,1,"no"
"7",59,"employed","married","professional.course","no","no","no","telephone","may","mon",139,1,"no"
"9",24,"employed","single","professional.course","no","yes","no","telephone","may","mon",380,1,"no"
"10",25,"employed","single","high.school","no","yes","no","telephone","may","mon",50,1,"no"
"12",25,"employed","single","high.school","no","yes","no","telephone","may","mon",222,1,"no"
"13",29,"employed","single","high.school","no","no","yes","telephone","may","mon",137,1,"no"
"14",57,"employed","divorced","basic","no","yes","no","telephone","may","mon",293,1,"no"
"15",35,"employed","married","basic","no","yes","no","telephone","may","mon",146,1,"no"
"17",35,"employed","married","basic","no","yes","no","telephone","may","mon",312,1,"no"
"19",50,"employed","married","basic","no","yes","yes","telephone","may","mon",353,1,"no"
"21",30,"unemployed","married","high.school","no","no","no","telephone","may","mon",38,1,"no"
"23",55,"non-labor","single","high.school","no","yes","no","telephone","may","mon",342,1,"no"
"24",41,"employed","single","high.school","no","yes","no","telephone","may","mon",181,1,"no"
"25",37,"employed","married","high.school","no","yes","no","telephone","may","mon",172,1,"no"
"26",35,"employed","married","university.degree","no","no","yes","telephone","may","mon",99,1,"no"
"35",54,"employed","divorced","basic","no","no","no","telephone","may","mon",208,1,"no"
"37",34,"employed","married","high.school","no","no","no","telephone","may","mon",365,1,"no"
"38",52,"employed","married","basic","no","yes","no","telephone","may","mon",1666,1,"no"
"39",41,"employed","married","university.degree","no","yes","no","telephone","may","mon",577,1,"no"
"40",56,"employed","married","basic","no","yes","no","telephone","may","mon",137,1,"no"
"42",32,"employed","married","high.school","no","yes","no","telephone","may","mon",314,1,"no"
"43",38,"employed","single","professional.course","no","no","no","telephone","may","mon",160,1,"no"
"44",57,"employed","married","university.degree","no","no","yes","telephone","may","mon",212,1,"no"
"47",57,"employed","married","university.degree","no","yes","yes","telephone","may","mon",616,1,"no"
"48",40,"employed","married","basic","no","no","yes","telephone","may","mon",178,1,"no"
"49",35,"employed","married","university.degree","no","yes","no","telephone","may","mon",355,1,"no"
"50",45,"employed","married","basic","no","yes","no","telephone","may","mon",225,2,"no"
"51",54,"employed","married","high.school","no","no","no","telephone","may","mon",160,1,"no"
"52",39,"employed","married","basic","no","no","yes","telephone","may","mon",266,1,"no"
"53",60,"employed","married","high.school","no","no","no","telephone","may","mon",253,1,"no"
"54",53,"employed","single","professional.course","no","no","no","telephone","may","mon",179,1,"no"
"60",25,"employed","single","university.degree","no","yes","no","telephone","may","mon",174,1,"no"
"62",51,"employed","married","basic","no","yes","no","telephone","may","mon",812,1,"no"
"65",48,"employed","married","high.school","no","no","no","telephone","may","mon",357,1,"no"
"66",37,"employed","married","university.degree","no","no","no","telephone","may","mon",232,1,"no"
"67",44,"employed","single","basic","no","yes","no","telephone","may","mon",91,1,"no"
"69",56,"employed","married","basic","no","yes","no","telephone","may","mon",158,2,"no"
"71",41,"employed","married","basic","no","no","no","telephone","may","mon",200,1,"no"
"72",44,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",172,1,"no"
"77",55,"employed","married","university.degree","no","no","no","telephone","may","mon",349,1,"no"
"85",38,"employed","single","university.degree","no","no","yes","telephone","may","mon",20,1,"no"
